,各地区按项目规模分城镇固定资产投资est,各地区按项目规模分城镇固定资产投资tst,新浪数据网站,
,,,
时间,地区,500万元以下项目(亿元),10亿元以上项目(亿元),5至10亿元项目(亿元),1至5亿元项目(亿元),500万元至1亿元项目(亿元),
2007,新疆,65.2,620.3,129.5,216.7,459.2,
2007,江苏,1146.1,812.3,1933.7,2753.3,
2007,四川,99.2,758.2,335.3,776,1747.8,
2007,云南,69,815.7,162.4,402.8,571,
2007,甘肃,50,202.2,92.7,234.3,464.3,
2007,青海,18.2,148.9,47.2,76.7,118.4,
2007,宁夏,9.9,141.9,50.7,98.6,133.4,
2007,重庆,30.6,704.4,190.9,537.4,623.8,
2007,浙江,84,1196,450.5,1077.2,1367.7,
2007,安徽,139.2,884.8,252.9,689,1586.6,
2007,福建,34.5,820.5,280.5,679.7,881.4,
2007,江西,27.4,523.8,184.3,610.2,1173.7,
2007,山东,114.4,951.5,654.7,2012.5,4899.4,
2007,河南,108,818.9,352.4,1092.3,3400.5,
2007,湖北,84,942.4,191,654.1,1332.1,
2007,湖南,77.9,433,188.5,728.9,1426.7,
2007,山西,21.2,668.1,277.4,760.4,614.1,
2007,河北,111.7,1088.3,384.9,938.6,2457.5,
2007,天津,11.1,914.7,121.1,367.9,272.1,
2007,贵州,89.9,383.3,69.8,189.8,306.6,
2007,西藏,24.1,25,12.1,56.7,101.3,
2007,陕西,40.1,689.2,258.3,642.7,1003.2,
2007,海南,10.3,117,49.1,65.5,103.4,
2007,广东,199.1,1760.6,423.1,1027.3,1441.4,
2007,广西,132.1,410.4,145.8,463.5,908.7,
2008,中国,2004,34181.1,10056,23486.1,47807.9,
2008,上海,18.8,1887.2,263.9,419.1,380.2,
2008,黑龙江,40.4,914.8,262.9,529.4,1167.5,
2008,吉林,32.3,695.3,293.9,606.7,2323.5,
2008,辽宁,162.4,2175.9,587.4,1330,2565.4,
2008,内蒙古,41.3,1477.6,574,794.6,1695.2,
2008,北京,10.3,845.2,220.8,317.7,218.2,
2008,新疆,49.6,729.5,167.4,245.7,604.7,
2008,江苏,1640.9,1049.3,2307.1,3307.9,
2008,四川,69.9,1212,419,1161.9,2047.7,
2008,云南,116.8,876.3,218.8,445.1,891.6,
2008,甘肃,47.5,280,115.3,298.5,583.7,
2008,青海,18.9,188.5,36.6,85.5,133.4,
2008,宁夏,8.2,255.6,50.5,136,167.8,
2008,重庆,31.4,882.7,308.5,596.8,905.5,
2008,浙江,85.5,1239.8,474.8,1257.4,1470.4,
2008,安徽,135.4,837.2,325.1,921.5,2366.7,
2008,福建,36.3,1125.9,315.3,816.6,1178.3,
2008,江西,21.9,786.5,263.7,978.6,1726.9,
2008,山东,150.8,1477.1,928,2357.4,5577.1,
2008,河南,97.2,924.9,435.2,1433.3,4623.9,
2008,湖北,85.5,1077.9,343.5,927.3,1821.8,
2008,湖南,86.3,636.7,277.2,741.5,2182.4,
2008,山西,20,901.8,270.5,733.1,942.3,
2008,河北,92.8,1590.5,525.6,1051,3119.3,
2008,天津,19.7,1384.6,196.2,424.9,495.9,
2008,贵州,89.7,501.1,82.4,232.4,392.5,
2008,西藏,24.4,48.8,18.7,66.2,99.5,
2008,陕西,41.5,986.5,287.2,721.3,1487.7,
2008,海南,8.2,231,49.7,85.2,94.4,
2008,广东,226.6,2090.4,491.1,925.1,1958.5,
2008,广西,134.5,567.5,187.1,532,1277.6,
2009,中国,2047.2,45210.4,13992.9,29222.3,67205.8,
2009,上海,20.3,1981.7,312.5,453.3,389.1,
2009,黑龙江,55.7,1062.6,422.9,769.1,1821.5,
2009,吉林,31.1,870.9,370,648.1,3282.2,
2009,辽宁,181.2,2403.6,911,1645.2,3823.6,
2009,内蒙古,44.7,1987.1,771.3,1014,2511.4,
2009,北京,10.1,946,205.5,404.1,246.2,
2009,新疆,61.7,875.6,181.5,311.1,768.3,
2009,江苏,2172.6,1433.9,2763.2,4558.5,
2009,四川,83.2,2040,791.7,1634.1,2952.8,
2009,云南,75.2,1328.4,243,564.7,1168.7,
2009,甘肃,52.3,536.4,120.2,342.8,820.5,
2009,青海,18.6,258.5,60.5,107.6,170.9,
2009,宁夏,11.2,325.7,84.6,184.1,195.8,
2009,重庆,39,1269.3,400.5,658.3,1249.1,
2009,浙江,85.7,1487.2,583.9,1329.1,1714.2,
2009,安徽,934.9,426.4,1177.2,3737.1,
2009,福建,39.9,1491.1,378.8,873,1629.4,
2009,江西,30.8,688.6,430,1315.9,2908.3,
2009,山东,114.4,2052.8,1190.8,2950.2,6702.1,
2009,河南,110.4,1047.6,510.1,1761,6472.1,
2009,湖北,98.1,1336.6,462,1336,2750.5,
2009,湖南,1091.5,430.8,813.2,3459.9,
2009,山西,34.4,1437.9,382.3,868,1309.7,
2009,河北,203.5,1848.2,968.4,1846.3,4090.1,
2009,天津,30.3,2106.5,303.3,453.3,817.9,
2009,贵州,94.7,586.3,140.9,234.9,621.8,
2009,西藏,29.6,54,17.3,50.9,160.1,
2009,陕西,50.2,1501.7,455.8,835.3,2103.7,
2009,海南,9.5,283.4,60.3,129.1,172.4,
2009,广东,235.6,2875.6,610.6,1065.1,2481.8,
2009,广西,195.8,566,320.6,678.3,2115.5,
2010,中国,2858.6,58885.2,19120.4,38334.1,73973.1,
2010,上海,17.9,1387.7,322.3,490.9,431,
2010,黑龙江,56.4,1446.7,552.1,932.9,2461.4,
2010,吉林,1039.1,1451.6,376.6,889.7,2717.2,
2010,辽宁,3759.5,1428.1,2534,3919,
2010,内蒙古,31.7,2704,1077.3,1241.8,2513.1,
2010,北京,10.7,1082.2,246,436.8,239.8,
2010,新疆,55.8,1116.8,222.9,401.5,920.4,
2010,江苏,2848.1,1846.4,3165,5257.6,
2010,四川,66.9,2497.2,1032.9,2280.8,2988.9,
2010,云南,66.2,1751.4,408.3,596.6,1329.7,
2010,甘肃,46.5,670.2,269.1,505.8,1050.5,
2010,青海,13.4,327,75.2,102.7,213.5,
2010,宁夏,9.1,440.9,133.8,234.7,220,
2010,重庆,37.7,1570,529.7,848.5,1564.4,
2010,浙江,91.8,1419.9,678.8,1377.6,1844.6,
2010,安徽,154.5,1474.5,525.6,1628.3,4246.7,
2010,福建,1899,555.4,1202.9,1909.6,
2010,江西,59.7,941.9,498.1,1741.8,3908.5,
2010,山东,120.2,2860.5,1620.7,3635.8,7358,
2010,河南,75.3,1395.6,866.8,2785.7,6697.3,
2010,湖北,95,1755.1,635.1,1823.5,3478.7,
2010,湖南,1581.4,462.7,890.1,4214.7,
2010,山西,27,1672.6,516.2,1123,1595.6,
2010,河北,242.4,2744.7,1396.2,2655.6,3618.8,
2010,天津,0.2,2801.1,598.5,707.4,922.7,
2010,西藏,22.8,83.4,51.5,74.4,164,
2010,陕西,42.1,2513.2,625.5,1324.9,1904.7,
