,邮政行业运行情况,邮政行业运行情况,国家邮政局,http://www.chinawuliu.com.cn/xsyj/class_81.shtml,,,,,,
,,,,,,,,,,
日期,一、邮政行业业务收入(亿元),其中：快递业务收(亿元),二、邮政行业业务总量(亿元),其中：函件(万件),包裹(万件),快递(万件),订销报纸累计数(万份),订销杂志累计数(万份),汇兑(万比),
2013.5,208.5,120.8,222.8,54036.8,526.9,74178.7,168588,9928.9,1481.3,
,,,,,,,,,,
2012.5,,,,,,,,,,
