,上海市城市轨道交通,上海市城市轨道交通,上海市城市轨道交通,http://www.shmetro.com/node78/node80/201303/con112829.htm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
日期,车站总量,,1号线车站,2号线车站,3号线车站,4号线车站,5号线车站,6号线车站,7号线车站,8号线车站,9号线车站,10号线车站,11号线车站,12号线(建设中)车站,13号线车站,16号线(建设中)车站
2013.8.31,374,,28,30,29,26,11,28,32,29,26,31,35,27,31,11
